Extraction des impliquants premiers
T: Déjà Traité  P: Premier  A: en attente

Groupage N°1
T 00-01001001
T 0-001001001
T -0001001001
T 000010100-1
T 00001010-01
T 0000101-001
T 00001-10001
T 000-1010001
T 00-01010001
T 0-001010001
T -0001010001
T 000011000-1
T 00001100-01
T 0000110-001
T 000011-0001
T 000-1100001
T 00-01100001
T 0-001100001
T -0001100001
T 00010000-11
T 0001000-011
T 000100-0011
T 00010-00011
T 0001-000011
T 00-10000011
T 0-010000011
T -0010000011
T 000100001-1
T 0001000-101
T 000100-0101
T 00010-00101
T 0001-000101
T 00-10000101
T 0-010000101
T -0010000101
T 000100010-1
T 00010001-01
T 000100-1001
T 00010-01001
T 0001-001001
T 00-10001001
T 0-010001001
T -0010001001
T 000100100-1
T 00010010-01
T 0001001-001
T 00010-10001
T 0001-010001
T 00-10010001
T 0-010010001
T -0010010001
T 000101000-1
T 00010100-01
T 0001010-001
T 000101-0001
T 0001-100001
T 00-10100001
T 0-010100001
T -0010100001
T 000110000-1
T 00011000-01
T 0001100-001
T 000110-0001
T 00011-00001
T 00-11000001
T 0-011000001
T -0011000001
T 00100000-11
T 0010000-011
T 001000-0011
T 00100-00011
T 0010-000011
T 001-0000011
T 0-100000011
T -0100000011
T 001000001-1
T 0010000-101
T 001000-0101
T 00100-00101
T 0010-000101
T 001-0000101
T 0-100000101
T -0100000101
T 001000010-1
T 00100001-01
T 001000-1001
T 00100-01001
T 0010-001001
T 001-0001001
T 0-100001001
T -0100001001
T 001000100-1
T 00100010-01
T 0010001-001
T 00100-10001
T 0010-010001
T 001-0010001
T 0-100010001
T -0100010001
T 001001000-1
T 00100100-01
T 0010010-001
T 001001-0001
T 0010-100001
T 001-0100001
T 0-100100001
T -0100100001
T 001010000-1
T 00101000-01
T 0010100-001
T 001010-0001
T 00101-00001
T 001-1000001
T 0-101000001
T -0101000001
T 001100000-1
T 00110000-01
T 0011000-001
T 001100-0001
T 00110-00001
T 0011-000001
T 0-110000001
T -0110000001
T 01000000-11
T 0100000-011
T 010000-0011
T 01000-00011
T 0100-000011
T 010-0000011
T 01-00000011
T -1000000011
T 010000001-1
T 0100000-101
T 010000-0101
T 01000-00101
T 0100-000101
T 010-0000101
T 01-00000101
T -1000000101
T 010000010-1
T 01000001-01
T 010000-1001
T 01000-01001
T 0100-001001
T 010-0001001
T 01-00001001
T -1000001001
T 010000100-1
T 01000010-01
T 0100001-001
T 01000-10001
T 0100-010001
T 010-0010001
T 01-00010001
T -1000010001
T 010001000-1
T 01000100-01
T 0100010-001
T 010001-0001
T 0100-100001
T 010-0100001
T 01-00100001
T -1000100001
T 010010000-1
T 01001000-01
T 0100100-001
T 010010-0001
T 01001-00001
T 010-1000001
T 01-01000001
T -1001000001
T 010100000-1
T 01010000-01
T 0101000-001
T 010100-0001
T 01010-00001
T 0101-000001
T 01-10000001
T -1010000001
T 011000000-1
T 01100000-01
T 0110000-001
T 011000-0001
T 01100-00001
T 0110-000001
T 011-0000001
T -1100000001
T 10000000-11
T 1000000-011
T 100000-0011
T 10000-00011
T 1000-000011
T 100-0000011
T 10-00000011
T 1-000000011
T 100000001-1
T 1000000-101
T 100000-0101
T 10000-00101
T 1000-000101
T 100-0000101
T 10-00000101
T 1-000000101
T 100000010-1
T 10000001-01
T 100000-1001
T 10000-01001
T 1000-001001
T 100-0001001
T 10-00001001
T 1-000001001
T 100000100-1
T 10000010-01
T 1000001-001
T 10000-10001
T 1000-010001
T 100-0010001
T 10-00010001
T 1-000010001
T 100001000-1
T 10000100-01
T 1000010-001
T 100001-0001
T 1000-100001
T 100-0100001
T 10-00100001
T 1-000100001
T 100010000-1
T 10001000-01
T 1000100-001
T 100010-0001
T 10001-00001
T 100-1000001
T 10-01000001
T 1-001000001
T 100100000-1
T 10010000-01
T 1001000-001
T 100100-0001
T 10010-00001
T 1001-000001
T 10-10000001
T 1-010000001
T 101000000-1
T 10100000-01
T 1010000-001
T 101000-0001
T 10100-00001
T 1010-000001
T 101-0000001
T 1-100000001
T 110000000-1
T 11000000-01
T 1100000-001
T 110000-0001
T 11000-00001
T 1100-000001
T 110-0000001
T 11-00000001
T 000000-1111
T 00000-01111
T 0000-001111
T 000-0001111
T 00-00001111
T 0-000001111
T -0000001111
T 0000001-111
T 00000-10111
T 0000-010111
T 000-0010111
T 00-00010111
T 0-000010111
T -0000010111
T 00000011-11
T 00000-11011
T 0000-011011
T 000-0011011
T 00-00011011
T 0-000011011
T -0000011011
T 000000111-1
T 00000-11101
T 0000-011101
T 000-0011101
T 00-00011101
T 0-000011101
T -0000011101
T 0000010-111
T 000001-0111
T 0000-100111
T 000-0100111
T 00-00100111
T 0-000100111
T -0000100111
T 00000101-11
T 000001-1011
T 0000-101011
T 000-0101011
